*****************************
Basic coeficients
*****************************
Alpha, Cd
   8.000    ,   -.2076    
   10.00    ,   -.2076    
   12.00    ,   -.2076    
   14.00    ,   -.2076    
   16.00    ,   -.2076    
   18.00    ,   -.2076    

Alpha, CLad_Basic
  -14.00    ,    .1693E-01
  -12.00    ,    .1733E-01
  -10.00    ,    .1782E-01
  -8.000    ,    .1789E-01
  -6.000    ,    .1784E-01
  -5.000    ,    .1776E-01
  -4.000    ,    .1765E-01
  -2.000    ,    .1723E-01
  -1.000    ,    .1691E-01
    .000    ,    .1674E-01
   1.000    ,    .1700E-01
   2.000    ,    .1765E-01
   4.000    ,    .1849E-01
   5.000    ,    .1846E-01
   8.000    ,    .1785E-01
   10.00    ,    .1631E-01
   12.00    ,    .1269E-01
   14.00    ,    .8880E-02
   16.00    ,    .5519E-02
   18.00    ,    .3578E-02

Alpha, Cmad_Basic
  -14.00    ,   -.7026E-01
  -12.00    ,   -.7195E-01
  -10.00    ,   -.7396E-01
  -8.000    ,   -.7427E-01
  -6.000    ,   -.7406E-01
  -5.000    ,   -.7374E-01
  -4.000    ,   -.7327E-01
  -2.000    ,   -.7154E-01
  -1.000    ,   -.7019E-01
    .000    ,   -.6951E-01
   1.000    ,   -.7055E-01
   2.000    ,   -.7328E-01
   4.000    ,   -.7675E-01
   5.000    ,   -.7663E-01
   8.000    ,   -.7412E-01
   10.00    ,   -.6769E-01
   12.00    ,   -.5266E-01
   14.00    ,   -.3686E-01
   16.00    ,   -.2291E-01
   18.00    ,   -.1485E-01

Alpha, Clp
  -14.00    ,   -.9639E-02
  -12.00    ,   -.9575E-02
  -10.00    ,   -.9472E-02
  -8.000    ,   -.9286E-02
  -6.000    ,   -.9027E-02
  -5.000    ,   -.8869E-02
  -4.000    ,   -.8694E-02
  -2.000    ,   -.8569E-02
  -1.000    ,   -.8701E-02
    .000    ,   -.8903E-02
   1.000    ,   -.9088E-02
   2.000    ,   -.9251E-02
   4.000    ,   -.9529E-02
   5.000    ,   -.9635E-02
   8.000    ,   -.9780E-02
   10.00    ,   -.8665E-02
   12.00    ,   -.6817E-02
   14.00    ,   -.5223E-02
   16.00    ,   -.2747E-02
   18.00    ,    .4595E-03

Alpha, Cyp
  -14.00    ,    .5575E-03
  -12.00    ,    .4377E-03
  -10.00    ,    .3197E-03
  -8.000    ,    .2056E-03
  -6.000    ,    .9595E-04
  -5.000    ,    .4301E-04
  -4.000    ,   -.8712E-05
  -2.000    ,   -.1076E-03
  -1.000    ,   -.1576E-03
    .000    ,   -.2090E-03
   1.000    ,   -.2618E-03
   2.000    ,   -.3157E-03
   4.000    ,   -.4269E-03
   5.000    ,   -.4840E-03
   8.000    ,   -.6616E-03
   10.00    ,   -.8005E-03
   12.00    ,   -.9164E-03
   14.00    ,   -.1012E-02
   16.00    ,   -.1108E-02
   18.00    ,   -.1122E-02

Alpha, Cnp
  -14.00    ,    .1368E-02
  -12.00    ,    .1132E-02
  -10.00    ,    .8958E-03
  -8.000    ,    .6641E-03
  -6.000    ,    .4353E-03
  -5.000    ,    .3215E-03
  -4.000    ,    .2074E-03
  -2.000    ,   -.1925E-04
  -1.000    ,   -.1333E-03
    .000    ,   -.2476E-03
   1.000    ,   -.3623E-03
   2.000    ,   -.4772E-03
   4.000    ,   -.7093E-03
   5.000    ,   -.8270E-03
   8.000    ,   -.1192E-02
   10.00    ,   -.1538E-02
   12.00    ,   -.1909E-02
   14.00    ,   -.2247E-02
   16.00    ,   -.2624E-02
   18.00    ,   -.2829E-02

Alpha, Cnr
  -14.00    ,   -.9710E-03
  -12.00    ,   -.9154E-03
  -10.00    ,   -.8732E-03
  -8.000    ,   -.8444E-03
  -6.000    ,   -.8286E-03
  -5.000    ,   -.8254E-03
  -4.000    ,   -.8250E-03
  -2.000    ,   -.8322E-03
  -1.000    ,   -.8395E-03
    .000    ,   -.8496E-03
   1.000    ,   -.8626E-03
   2.000    ,   -.8787E-03
   4.000    ,   -.9207E-03
   5.000    ,   -.9468E-03
   8.000    ,   -.1047E-02
   10.00    ,   -.1130E-02
   12.00    ,   -.1202E-02
   14.00    ,   -.1263E-02
   16.00    ,   -.1307E-02
   18.00    ,   -.1310E-02

Alpha, Clr
  -14.00    ,   -.3927E-02
  -12.00    ,   -.3192E-02
  -10.00    ,   -.2461E-02
  -8.000    ,   -.1741E-02
  -6.000    ,   -.1039E-02
  -5.000    ,   -.6962E-03
  -4.000    ,   -.3603E-03
  -2.000    ,    .2901E-03
  -1.000    ,    .6184E-03
    .000    ,    .9551E-03
   1.000    ,    .1299E-02
   2.000    ,    .1650E-02
   4.000    ,    .2370E-02
   5.000    ,    .2737E-02
   8.000    ,    .3856E-02
   10.00    ,    .4602E-02
   12.00    ,    .5165E-02
   14.00    ,    .5613E-02
   16.00    ,    .5918E-02
   18.00    ,    .5968E-02

*****************************
Flap terms
*****************************
Plain flaps
DeltaFlap, CL
    .000    ,     .000    
   5.000    ,    .1219    
   10.00    ,    .2438    
   15.00    ,    .3559    
   20.00    ,    .3878    

Plain flaps
DeltaFlap, Cm
    .000    ,     .000    
   5.000    ,   -.2314E-01
   10.00    ,   -.4623E-01
   15.00    ,   -.6498E-01
   20.00    ,   -.8814E-01

Cd_Flaps for Plain flaps
Alpha, DeltaFlap
            ,     .000    ,    5.000    ,    10.00    ,    15.00    ,    20.00    
  -14.00    ,     .000    ,   -.8316E-02,   -.1449E-01,   -.1828E-01,   -.1902E-01
  -12.00    ,     .000    ,   -.6689E-02,   -.1124E-01,   -.1353E-01,   -.1385E-01
  -10.00    ,     .000    ,   -.5062E-02,   -.7982E-02,   -.8777E-02,   -.8672E-02
  -8.000    ,     .000    ,   -.3435E-02,   -.4728E-02,   -.4027E-02,   -.3497E-02
  -6.000    ,     .000    ,   -.1808E-02,   -.1474E-02,    .7234E-03,    .1679E-02
  -5.000    ,     .000    ,   -.9945E-03,    .1528E-03,    .3098E-02,    .4267E-02
